1,Ali,Ahmed,2001,3A,15.50,12.00,14.00,16.50,14.20,0
2,Moulay,Sarah,2000,2B,18.00,16.50,17.00,19.00,17.40,0
3,Zouaoui,Sarah,1999,3A,13.00,11.00,15.50,14.00,13.50,0
4,Benmoussa,Karim,2002,1C,10.00,9.50,12.00,11.00,10.80,0
5,Cherif,Yasmine,2003,2B,19.00,18.50,17.50,20.00,18.80,0
6,Haddad,Amine,2001,3A,14.00,13.00,15.00,16.00,14.80,1
7,Mezouar,Fatima,2002,1A,16.00,15.00,14.50,18.00,15.80,0
8,Khellaf,Mourad,2000,2B,12.00,10.50,11.00,13.00,12.10,0
9,Saidi,Lila,2003,1C,8.00,9.00,7.50,10.00,8.70,0
10,Djebbar,Hamid,2002,3A,20.00,19.50,18.00,17.00,18.70,0
11,Belarbi,Malek,1998,3B,15.00,14.00,12.50,13.00,14.10,1
12,Guerfi,Yacine,2000,2A,17.00,18.00,16.50,19.00,17.80,0
13,Amrani,Samira,2001,3A,13.50,12.00,11.00,14.00,12.90,1
14,Rahmouni,Nadia,1999,1B,9.00,8.50,10.00,9.00,8.90,0
15,Kaci,Lina,2003,2B,20.00,19.50,18.50,20.00,19.60,0
16,Boukhelfa,Adam,2002,1C,11.00,10.50,12.00,10.00,10.80,1
17,Saadallah,Amina,2001,3B,14.00,13.50,14.00,15.00,14.20,0
18,Hamdi,Khaled,2002,2A,18.00,17.00,16.00,19.00,17.40,0
19,Belhadi,Amel,1998,1A,10.00,9.50,8.00,11.00,9.80,0
20,Larbi,Nassim,2001,2B,12.50,13.00,14.00,15.00,13.50,0
21,Aouini,Salima,2003,3A,16.50,17.00,15.00,18.50,17.20,0
22,Chikhi,Reda,1999,1B,10.50,9.00,8.00,12.00,10.30,1
23,Medjahdi,Farid,2002,1C,14.00,13.50,14.00,15.00,14.30,0
24,Dib,Leila,2003,3B,19.00,18.50,17.00,20.00,18.60,0
25,Nezzar,Fouad,2001,2A,15.00,14.50,13.00,14.00,14.30,1
26,Belaid,Amine,1999,2B,10.00,11.00,12.00,13.00,11.90,0
27,Cherrad,Wafa,2000,1A,18.00,19.00,17.50,20.00,18.70,0
28,Fekir,Imane,2001,2C,13.00,14.00,12.50,15.00,13.80,0
29,Khir,Redouane,2003,3A,17.00,16.00,15.50,18.00,16.90,0
30,Selmani,Hiba,1998,1B,9.00,8.50,10.00,9.50,9.10,1
31,Abdi,Oussama,2002,2A,14.00,13.00,12.50,15.00,13.80,0
32,Ziani,Malika,1999,3B,19.50,20.00,18.50,19.00,19.10,0
33,Zerouki,Tarek,2003,1C,11.00,10.00,9.50,12.00,10.90,0
34,Mekki,Soraya,2001,2B,15.00,14.50,13.00,16.00,14.60,1
35,Yahiaoui,Khalil,2000,3A,13.50,12.50,14.00,15.00,13.90,0
36,Ramdani,Yasmine,2002,1B,10.00,9.00,11.50,12.00,10.80,0
37,Tahar,Hamza,2001,2A,18.50,17.50,19.00,20.00,18.80,0
38,Mokhtar,Aya,2003,3B,14.50,15.00,16.00,14.00,14.80,0
39,Nour,Lounes,2002,1A,12.00,13.00,14.50,11.50,12.90,0
40,Bendebka,Samir,2000,2C,15.00,14.50,13.00,16.00,14.60,1
41,MAAMRIA,ABDERAHMENE,2004,B3,12.00,12.00,12.00,12.00,12.00,1
